"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"WDR1.1",3.02443962764178e-26,-0.309403208376038,0.609,0.658,1.10697514811317e-21,"2","WDR1"
"RAB5IF.1",5.28988024072192e-26,-0.338086689391905,0.359,0.443,1.93614906690663e-21,"2","RAB5IF"
"OSTF1.1",6.89856466328045e-26,-0.315710699270937,0.462,0.538,2.52494365240728e-21,"2","OSTF1"
"CD2.2",1.97710773124077e-25,-0.31233639760995,0.817,0.811,7.23641200711434e-21,"2","CD2"
"TPST2.1",6.8762510758301e-25,-0.330985378554367,0.427,0.508,2.51677665626458e-20,"2","TPST2"
"KLRG1.1",1.12543460041475e-24,-0.386270680347687,0.302,0.391,4.11920318097802e-20,"2","KLRG1"
"IQGAP1.1",1.16358762221879e-24,-0.331329920860368,0.455,0.532,4.258847056083e-20,"2","IQGAP1"
"ARL6IP1.1",2.00879324951681e-24,-0.300776820698296,0.591,0.646,7.35238417255647e-20,"2","ARL6IP1"
"PGAM1.1",3.11509211437686e-24,-0.308560693916339,0.587,0.632,1.14015486478307e-19,"2","PGAM1"
"PPP1R18.1",3.18792292790397e-24,-0.31825283646555,0.574,0.62,1.16681167084213e-19,"2","PPP1R18"
"FAM49B.1",4.01750692799787e-24,-0.304916730073691,0.431,0.508,1.4704477107165e-19,"2","FAM49B"
"ATP5F1B",4.04666848477516e-24,-0.250360037227724,0.771,0.779,1.48112113211255e-19,"2","ATP5F1B"
"BSG.1",3.34014812554098e-23,-0.282759902615595,0.566,0.621,1.22252761542926e-18,"2","BSG"
"JPT1.1",4.69841338968511e-23,-0.303418809254384,0.287,0.372,1.71966628475865e-18,"2","JPT1"
"ATP2B4",5.93595180377106e-23,-0.290206326230941,0.212,0.304,2.17261771969825e-18,"2","ATP2B4"
"RAB8B",6.99636634297744e-23,-0.283321234607363,0.209,0.3,2.56074004519317e-18,"2","RAB8B"
"RNF213.1",1.08700948599083e-22,-0.313461376232354,0.731,0.763,3.97856341967503e-18,"2","RNF213"
"POMP.1",1.76345434774288e-22,-0.296353842037081,0.434,0.505,6.45441925817372e-18,"2","POMP"
"VPS37B",8.78219958077756e-22,-0.269532818782325,0.182,0.268,3.2143728685604e-17,"2","VPS37B"
